Album,Year,Side,Song,Lisa,Steven
Beatles '65,1965,side one,No Reply,1,1
Beatles '65,1965,side one,I'm A Loser,3,4
Beatles '65,1965,side one,Baby's in Black,0,0
Beatles '65,1965,side one,Rock and Roll Music,0,0
Beatles '65,1965,side one,I'll Follow the Sun,0,0
Beatles '65,1965,side one,Mr. Moonlight,0,0
Beatles '65,1965,side two,Honey Don't,0,0
Beatles '65,1965,side two,I'll Be Back,4,3
Beatles '65,1965,side two,She's a Woman,0,6
Beatles '65,1965,side two,I Feel Fine,3,5
Beatles '65,1965,side two,Everybody's Trying to Be My Baby,1,2
